"","location","scale","skewness","shape"
"T+157",-0.000432386365426046,0.0011246975256273,1.42482035515429,4.43670392163157
"T+158",0.000640772851011684,0.00120763781838077,1.40755086959093,4.52696303349743
"T+159",0.000996476347135475,0.00113281198939626,1.39563111355756,4.49055899696904
"T+160",0.000283264075614717,0.00118187254035843,1.41848541757631,4.49330753943776
"T+161",0.00076983129164545,0.00111700287956595,1.40581234673244,4.47429895810952
"T+162",0.00063566114035558,0.00108126345909404,1.4105349856479,4.44763413287335
"T+163",0.000997554700061703,0.00102239907933365,1.40001315963848,4.42852908598581
"T+164",0.00130769176125342,0.00097108274450979,1.38970205257613,4.41231246438933
"T+165",-0.000988644501002969,0.00140465050817217,1.41387720433946,4.58700853526189
"T+166",1.01594925171668e-05,0.00159470003861516,1.39413281888149,4.78026702674173
"T+167",0.000493686233903991,0.00149973544453457,1.37194590062459,4.72944183703098
"T+168",0.000839057980728791,0.00138977631962116,1.35060927546929,4.64845651187404
"T+169",0.000526174100111952,0.00135667856232966,1.38385786120032,4.59080421091658
"T+170",0.000937975577251855,0.00127047657891102,1.36361792271898,4.55126939568888
"T+171",0.000288630508208602,0.00131402394623326,1.40377993103721,4.54671437545099
"T+172",0.000667152067629892,0.00122581238016974,1.39033626599184,4.5082343691926
"T+173",0.00100704960732904,0.00114880434418777,1.37618668827776,4.47662932786542
"T+174",0.00099699702224683,0.00109365340299731,1.37964882590726,4.44599132282126
"T+175",0.00110094148540779,0.00103746441716723,1.37661947080479,4.42222278238498
"T+176",-0.000744766863270459,0.00135976621986653,1.4149285841415,4.54783929877235
"T+177",0.000244476256718765,0.00151413653253859,1.3949957320658,4.70613673246484
"T+178",0.000658017937420793,0.00140929896541923,1.37628791432718,4.64373171079958
"T+179",0.000801256249570631,0.00130524637300368,1.37015692030825,4.5631755082677
"T+180",0.000430445959094986,0.00129004440646571,1.39690772765897,4.53040463720498
"T+181",0.00085228940335414,0.00120995945582512,1.38044053172473,4.50190852460694
"T+182",0.00128555249666004,0.00114338248023758,1.35959031469892,4.4822044611058
"T+183",-0.000452643974974334,0.00151929264062918,1.40570318188659,4.64447296160554
"T+184",0.000328135311540478,0.00156812411366226,1.38199348916131,4.74625345734947
