"","location","scale"
"T+453",0.00162413194220578,3.49029451847121e-05
"T+454",0.00136159775867353,3.49026082402585e-05
"T+455",0.00124329820608194,3.49024392508148e-05
"T+456",0.00118855485825481,3.49023546268651e-05
"T+457",0.00115449055545128,3.49023125210244e-05
"T+458",0.00114038695204533,3.49022913712423e-05
"T+459",0.0011287891181721,3.49022809512232e-05
"T+460",0.0011254871016133,3.49022756530377e-05
"T+461",0.00112737345205425,3.49022728920261e-05
"T+462",0.00113298232863598,3.49022713872128e-05
"T+463",0.00112833169610437,3.49022708460963e-05
"T+464",0.00112596943719752,3.49022705767536e-05
"T+465",0.00112552557357558,3.4902270418137e-05
"T+466",0.0011242995196831,3.49022703716042e-05
"T+467",0.00112174925637907,3.49022704150419e-05
"T+468",0.00112370171602222,3.49022703281631e-05
"T+469",0.00112531622919342,3.49022702647505e-05
"T+470",0.00112515808970576,3.49022702634458e-05
"T+471",0.00112338452101136,3.49022703189006e-05
"T+472",0.00112066328781789,3.4902270411312e-05
"T+473",0.00112114040942475,3.49022703927214e-05
"T+474",0.00111960552909641,3.49022704458859e-05
"T+475",0.00112873271401717,3.49022701729272e-05
"T+476",0.00112943875826601,3.49022701390432e-05
"T+477",0.00112826706452949,3.49022701676509e-05
"T+478",0.00112736237577946,3.49022701918381e-05
"T+479",0.00113775473250643,3.49022699373035e-05
"T+480",0.00112795812216133,3.49022702165291e-05
"T+481",0.00112350553637938,3.4902270340108e-05
"T+482",0.00112519453574843,3.49022702714528e-05
"T+483",0.00112365927617458,3.49022703141853e-05
"T+484",0.00112422809986692,3.49022702914259e-05
"T+485",0.00112481080679764,3.49022702704944e-05
"T+486",0.00112256843662624,3.49022703446115e-05
"T+487",0.00112534448717788,3.4902270254806e-05
"T+488",0.00113213055519325,3.49022700647463e-05
"T+489",0.00113285911863207,3.49022700369296e-05
"T+490",0.00112919505023559,3.49022701410607e-05
"T+491",0.00113293096533214,3.49022700351945e-05
"T+492",0.0011358462496749,3.49022699567744e-05
