"","location","scale","shape"
"T+131",0.000507574906346236,4.86743487135702e-07,7.99999998851768
"T+132",0.000498479777588825,4.86743487135702e-07,7.99999998851768
"T+133",0.000417428585396962,4.86743487135702e-07,7.99999998851768
"T+134",0.00056380638576619,4.86743487135702e-07,7.99999998851768
"T+135",0.00049378247604014,4.86743487135702e-07,7.99999998851768
"T+136",0.000476354675973247,4.86743487135702e-07,7.99999998851768
"T+137",0.000419354414381195,4.86743487135702e-07,7.99999998851768
"T+138",0.000442496028631007,4.86743487135702e-07,7.99999998851768
"T+139",0.000917493641367968,4.86743487135702e-07,7.99999998851768
"T+140",0.000768237172609386,4.86743487135702e-07,7.99999998851768
"T+141",0.000621484431687423,4.86743487135702e-07,7.99999998851768
"T+142",0.000444373211410242,4.86743487135702e-07,7.99999998851768
"T+143",0.000501905948702,4.86743487135702e-07,7.99999998851768
"T+144",0.000401767327386457,4.86743487135702e-07,7.99999998851768
"T+145",0.000369997909020968,4.86743487135702e-07,7.99999998851768
"T+146",0.000374062177281654,4.86743487135702e-07,7.99999998851768
"T+147",0.000294634371604904,4.86743487135702e-07,7.99999998851768
"T+148",0.000374320492223858,4.86743487135702e-07,7.99999998851768
"T+149",0.000484518132175712,4.86743487135702e-07,7.99999998851768
"T+150",0.000477157480095378,4.86743487135702e-07,7.99999998851768
"T+151",0.000441156295429041,4.86743487135702e-07,7.99999998851768
"T+152",0.000343239370352172,4.86743487135702e-07,7.99999998851768
"T+153",0.000290189350393108,4.86743487135702e-07,7.99999998851768
"T+154",0.000330765389048771,4.86743487135702e-07,7.99999998851768
"T+155",0.000340232253299588,4.86743487135702e-07,7.99999998851768
"T+156",0.000388941263008475,4.86743487135702e-07,7.99999998851768
"T+157",0.00032890315931399,4.86743487135702e-07,7.99999998851768
"T+158",0.000379579168933349,4.86743487135702e-07,7.99999998851768
"T+159",0.000411394723176917,4.86743487135702e-07,7.99999998851768
"T+160",0.000465736104878338,4.86743487135702e-07,7.99999998851768
"T+161",0.000345686254903754,4.86743487135702e-07,7.99999998851768
"T+162",0.000366027544808424,4.86743487135702e-07,7.99999998851768
"T+163",0.000447794986095145,4.86743487135702e-07,7.99999998851768
"T+164",0.000507226543147609,4.86743487135702e-07,7.99999998851768
"T+165",0.000473396950893598,4.86743487135702e-07,7.99999998851768
"T+166",0.000364240719908205,4.86743487135702e-07,7.99999998851768
"T+167",0.000327286154746254,4.86743487135702e-07,7.99999998851768
"T+168",0.000327426309184447,4.86743487135702e-07,7.99999998851768
"T+169",0.000312761934331765,4.86743487135702e-07,7.99999998851768
"T+170",0.000307822880733226,4.86743487135702e-07,7.99999998851768
"T+171",0.000305342662722813,4.86743487135702e-07,7.99999998851768
"T+172",0.000275563466114675,4.86743487135702e-07,7.99999998851768
"T+173",0.000382526211013066,4.86743487135702e-07,7.99999998851768
"T+174",0.000560534622036228,4.86743487135702e-07,7.99999998851768
"T+175",0.000477981631568162,4.86743487135702e-07,7.99999998851768
"T+176",0.000395728598252886,4.86743487135702e-07,7.99999998851768
"T+177",0.00031603653052851,4.86743487135702e-07,7.99999998851768
"T+178",0.000349371230025306,4.86743487135702e-07,7.99999998851768
"T+179",0.000349678061542367,4.86743487135702e-07,7.99999998851768
"T+180",0.000290497472546988,4.86743487135702e-07,7.99999998851768
"T+181",0.000358702559664288,4.86743487135702e-07,7.99999998851768
"T+182",0.000552843448153028,4.86743487135702e-07,7.99999998851768
"T+183",0.000507586345402237,4.86743487135702e-07,7.99999998851768
"T+184",0.000506632286833145,4.86743487135702e-07,7.99999998851768
"T+185",0.000372768732726989,4.86743487135702e-07,7.99999998851768
"T+186",0.000273224283995912,4.86743487135702e-07,7.99999998851768
"T+187",0.000277850628080976,4.86743487135702e-07,7.99999998851768
"T+188",0.000349916544839114,4.86743487135702e-07,7.99999998851768
"T+189",0.000414853592816431,4.86743487135702e-07,7.99999998851768
"T+190",0.000561180288787275,4.86743487135702e-07,7.99999998851768
"T+191",0.000400438346290522,4.86743487135702e-07,7.99999998851768
"T+192",0.000332532264942166,4.86743487135702e-07,7.99999998851768
"T+193",0.000517980320799381,4.86743487135702e-07,7.99999998851768
"T+194",0.000953345882569282,4.86743487135702e-07,7.99999998851768
"T+195",0.000707942766405793,4.86743487135702e-07,7.99999998851768
"T+196",0.000494900766510866,4.86743487135702e-07,7.99999998851768
"T+197",0.000548859634871958,4.86743487135702e-07,7.99999998851768
"T+198",0.000609891551100673,4.86743487135702e-07,7.99999998851768
"T+199",0.000495588447801702,4.86743487135702e-07,7.99999998851768
"T+200",0.000408649898497712,4.86743487135702e-07,7.99999998851768
"T+201",0.000373040506663755,4.86743487135702e-07,7.99999998851768
"T+202",0.000588456915287006,4.86743487135702e-07,7.99999998851768
"T+203",0.00098865725307497,4.86743487135702e-07,7.99999998851768
"T+204",0.00129018106860507,4.86743487135702e-07,7.99999998851768
"T+205",0.00110454584068738,4.86743487135702e-07,7.99999998851768
"T+206",0.000761016819019598,4.86743487135702e-07,7.99999998851768
"T+207",0.000737369690321316,4.86743487135702e-07,7.99999998851768
"T+208",0.000727168173492873,4.86743487135702e-07,7.99999998851768
"T+209",0.000635402629793014,4.86743487135702e-07,7.99999998851768
"T+210",0.000556416447326121,4.86743487135702e-07,7.99999998851768
"T+211",0.000574292892853178,4.86743487135702e-07,7.99999998851768
"T+212",0.000456214346999213,4.86743487135702e-07,7.99999998851768
"T+213",0.000421965111670469,4.86743487135702e-07,7.99999998851768
"T+214",0.000500191955589444,4.86743487135702e-07,7.99999998851768
"T+215",0.000607755766619583,4.86743487135702e-07,7.99999998851768
"T+216",0.00059199439685347,4.86743487135702e-07,7.99999998851768
"T+217",0.000517325125775043,4.86743487135702e-07,7.99999998851768
"T+218",0.000452705725137717,4.86743487135702e-07,7.99999998851768
"T+219",0.000368883783123667,4.86743487135702e-07,7.99999998851768
"T+220",0.000382473208725627,4.86743487135702e-07,7.99999998851768
"T+221",0.000315022896842286,4.86743487135702e-07,7.99999998851768
"T+222",0.000360385412097932,4.86743487135702e-07,7.99999998851768
"T+223",0.000421953300666193,4.86743487135702e-07,7.99999998851768
"T+224",0.000500885066576868,4.86743487135702e-07,7.99999998851768
"T+225",0.000342662300610672,4.86743487135702e-07,7.99999998851768
"T+226",0.000303991506589687,4.86743487135702e-07,7.99999998851768
"T+227",0.000332405446780556,4.86743487135702e-07,7.99999998851768
"T+228",0.000306144854045025,4.86743487135702e-07,7.99999998851768
"T+229",0.000315644350611723,4.86743487135702e-07,7.99999998851768
"T+230",0.00025049452441135,4.86743487135702e-07,7.99999998851768
"T+231",0.000294578714856748,4.86743487135702e-07,7.99999998851768
"T+232",0.000307486625637324,4.86743487135702e-07,7.99999998851768
"T+233",0.000340764200467599,4.86743487135702e-07,7.99999998851768
"T+234",0.000435422467644628,4.86743487135702e-07,7.99999998851768
"T+235",0.000343210269002854,4.86743487135702e-07,7.99999998851768
"T+236",0.000321516098830197,4.86743487135702e-07,7.99999998851768
"T+237",0.000297235671036166,4.86743487135702e-07,7.99999998851768
"T+238",0.000337814174166352,4.86743487135702e-07,7.99999998851768
"T+239",0.00030610049415387,4.86743487135702e-07,7.99999998851768
"T+240",0.00033343380153437,4.86743487135702e-07,7.99999998851768
"T+241",0.000312323532566726,4.86743487135702e-07,7.99999998851768
"T+242",0.000291770807102727,4.86743487135702e-07,7.99999998851768
"T+243",0.000355425553058536,4.86743487135702e-07,7.99999998851768
"T+244",0.000335474417206983,4.86743487135702e-07,7.99999998851768
"T+245",0.000264189831180934,4.86743487135702e-07,7.99999998851768
"T+246",0.000229945440555064,4.86743487135702e-07,7.99999998851768
"T+247",0.000190543759567111,4.86743487135702e-07,7.99999998851768
"T+248",0.000208573172480722,4.86743487135702e-07,7.99999998851768
"T+249",0.00022980822977341,4.86743487135702e-07,7.99999998851768
"T+250",0.000327038058032935,4.86743487135702e-07,7.99999998851768
"T+251",0.00028364420163561,4.86743487135702e-07,7.99999998851768
"T+252",0.000265647764989494,4.86743487135702e-07,7.99999998851768
"T+253",0.000208278940460857,4.86743487135702e-07,7.99999998851768
"T+254",0.000324271811018505,4.86743487135702e-07,7.99999998851768
"T+255",0.000390290546523811,4.86743487135702e-07,7.99999998851768
"T+256",0.000360468246815684,4.86743487135702e-07,7.99999998851768
"T+257",0.000307749876338326,4.86743487135702e-07,7.99999998851768
"T+258",0.000294068961626433,4.86743487135702e-07,7.99999998851768
"T+259",0.000442250588135642,4.86743487135702e-07,7.99999998851768
"T+260",0.000536116654475001,4.86743487135702e-07,7.99999998851768
"T+261",0.000613797472511596,4.86743487135702e-07,7.99999998851768
