"","location","scale","shape"
"T+272",0.000593487006797252,4.37472086337153e-06,4.79942434818845
"T+273",0.000550521782081976,3.31118936992924e-06,4.82899247912435
"T+274",0.000528311994183734,2.56570270121535e-06,4.85902693641027
"T+275",0.000446027524972771,2.06597331531522e-06,4.88968573266955
"T+276",0.000361522483953542,1.70305700902961e-06,4.92085503080879
"T+277",0.00044598931079735,1.40361486558145e-06,4.95228321759245
"T+278",0.000276680944236609,1.2191512203401e-06,4.98455531286366
"T+279",0.000241458126871548,1.05039211803495e-06,5.0170186082877
"T+280",0.000272998409813172,9.12509321031831e-07,5.04982615292056
"T+281",0.000235299483283921,8.08196024209423e-07,5.08312017668964
"T+282",0.000129728845248688,7.30778401804463e-07,5.11694158558331
"T+283",0.0004185292419989,6.61151991730974e-07,5.15101245378751
"T+284",0.000305461846713649,6.06336582146494e-07,5.18551152559113
"T+285",0.000115430157458735,5.67346674184237e-07,5.2205591325209
"T+286",0.000236400351439476,5.23558280977324e-07,5.25559987428904
"T+287",0.000578909055445746,4.92266945988273e-07,5.29115414188001
"T+288",-0.000156420414623146,5.21780227781907e-07,5.32895885135254
"T+289",0.00082270132071466,5.53559790628881e-07,5.36726601325904
"T+290",-0.000496912365444806,7.9894418234477e-07,5.4088015801137
"T+291",0.000621645638123912,9.09902448774359e-07,5.44951347220779
"T+292",0.000212939700093906,8.60428075691212e-07,5.48787675313342
"T+293",0.000284320066843126,7.61362394243073e-07,5.52491223440478
"T+294",8.17970042413755e-05,7.02104138417991e-07,5.56283114049203
"T+295",0.000297639188602165,6.34540215122257e-07,5.60024543479669
"T+296",0.000129798580428465,5.89928086083619e-07,5.63828178844617
"T+297",0.000460780346202506,5.46825161467015e-07,5.6761975153123
"T+298",3.09344774287844e-05,5.35536678477932e-07,5.71549483796715
"T+299",0.000617822063284611,5.17037284643674e-07,5.75451181612922
"T+300",-6.37420609794864e-05,5.38153060406047e-07,5.7954984851231
"T+301",0.000757491509695306,5.46874708943689e-07,5.83615382516339
"T+302",-0.000377644466174118,6.96519214053558e-07,5.88131313113769
"T+303",0.000708087903555959,7.7604357715647e-07,5.92500942100963
"T+304",-3.8992447224185e-05,8.42005851822513e-07,5.96856616373049
"T+305",0.00056853988656512,7.95600419417095e-07,6.00884946452701
"T+306",0.000119412889610774,7.68875647219755e-07,6.04967958560559
"T+307",0.00156405147584159,1.33050506904632e-06,6.09529924959427
"T+308",0.000761934665201141,1.41662183040781e-06,6.14013188659383
"T+309",0.000562161452268299,1.21861068752416e-06,6.1789884981728
"T+310",0.000957256811813892,1.10540104033579e-06,6.21914157596258
"T+311",0.000518829907710753,1.02487524411908e-06,6.25965359739865
"T+312",0.000479133936762619,8.93337823159653e-07,6.29743132359342
"T+313",0.000391425756395827,7.93449631966497e-07,6.33527237058447
"T+314",0.000738212246994068,7.23478049162565e-07,6.37355930840409
"T+315",0.000223930636398997,7.0736314204194e-07,6.41408480387406
"T+316",0.000928703473101184,7.06570474801407e-07,6.45519501557535
"T+317",0.00139513423510421,6.86414909463222e-07,6.49511676214595
"T+318",0.000335719589850381,8.05316180755401e-07,6.54073963971598
