"","SYMBOL","DATE","TIME","PRICE","SIZE","G127","CORR","COND","EX"
"2028","AA",20070504,"9:50:00",35.12,100,0,0,"F","P"
"2031","AA",20070504,"9:50:01",35.12,100,0,0,"E","P"
"2038","AA",20070504,"9:50:01",35.11,100,0,0,"E","P"
"2039","AA",20070504,"9:50:01",35.11,100,0,0,"E","P"
"2044","AA",20070504,"9:50:02",35.11,100,0,0,"E","P"
"2048","AA",20070504,"9:50:02",35.11,100,0,0,"E","P"
"2049","AA",20070504,"9:50:02",35.11,100,0,0,"E","P"
"2050","AA",20070504,"9:50:02",35.11,100,0,0,"E","P"
"2051","AA",20070504,"9:50:02",35.11,100,0,0,"E","P"
"2052","AA",20070504,"9:50:02",35.11,100,0,0,"E","P"
"2067","AA",20070504,"9:50:02",35.12,100,0,0,"E","P"
"2068","AA",20070504,"9:50:02",35.12,100,0,0,"E","P"
"2069","AA",20070504,"9:50:02",35.12,100,0,0,"E","P"
"2070","AA",20070504,"9:50:02",35.12,100,0,0,"E","P"
"2071","AA",20070504,"9:50:02",35.12,100,0,0,"E","P"
"2072","AA",20070504,"9:50:02",35.12,100,0,0,"E","P"
"2073","AA",20070504,"9:50:02",35.13,100,0,0,"E","P"
"2074","AA",20070504,"9:50:02",35.13,100,0,0,"E","P"
"2075","AA",20070504,"9:50:02",35.13,100,0,0,"E","P"
"2076","AA",20070504,"9:50:02",35.13,100,0,0,"E","P"
"2077","AA",20070504,"9:50:02",35.13,100,0,0,"E","P"
"2078","AA",20070504,"9:50:02",35.13,100,0,0,"E","P"
"2079","AA",20070504,"9:50:02",35.13,100,0,0,"E","P"
"2080","AA",20070504,"9:50:02",35.13,100,0,0,"E","P"
"2081","AA",20070504,"9:50:02",35.13,100,0,0,"E","P"
"2082","AA",20070504,"9:50:02",35.13,100,0,0,"E","P"
"2088","AA",20070504,"9:50:02",35.13,100,0,0,"E","P"
"2089","AA",20070504,"9:50:02",35.13,100,0,0,"F","P"
"2090","AA",20070504,"9:50:02",35.13,100,0,0,"F","P"
"2091","AA",20070504,"9:50:02",35.13,100,0,0,"F","P"
"2092","AA",20070504,"9:50:02",35.13,100,0,0,"F","P"
"2093","AA",20070504,"9:50:02",35.13,1000,0,0,"F","P"
"2094","AA",20070504,"9:50:02",35.13,100,0,0,"E","P"
